_parent_table_path,_parent_table_name,_parent_record_index,_index,LDCT,LDTY,PINS
PLEX,PLEX,112,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":6,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,112,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":27,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,116,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":6,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,116,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":25,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,129,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":26,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,129,1,5,0,0
PLEX,PLEX,183,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":25,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,183,1,5,0,0
PLEX,PLEX,196,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":27,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,196,1,5,0,0
PLEX,PLEX,498,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":27,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,498,1,5,0,0
PLEX,PLEX,505,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":27,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,505,1,5,0,0
PLEX,PLEX,506,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":26,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,506,1,5,0,0
PLEX,PLEX,521,0,5,0,0
PLEX,PLEX,521,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":26,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,727,0,5,0,0
PLEX,PLEX,727,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":27,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,857,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":26,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,857,1,5,0,0
PLEX,PLEX,890,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":24,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,927,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":7,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,927,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":24,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,963,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":7,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,963,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":24,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,964,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":7,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,964,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":23,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1069,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":6,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1069,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":25,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1070,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":7,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1070,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":25,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1071,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":7,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1071,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":25,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1072,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":7,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1072,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":26,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1073,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":7,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1073,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":23,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1074,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":27,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1074,1,5,0,0
PLEX,PLEX,1076,0,5,0,"{""nested_table"":""PINS"",""type"":4,""num_entries"":7,""field_count"":2,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1076,1,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":25,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1080,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":26,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1080,1,5,0,0
PLEX,PLEX,1082,0,0,1,"{""nested_table"":""PINS"",""type"":4,""num_entries"":25,""field_count"":3,""export_path"":""PLEX_LOUT_PINS.json/.csv""}"
PLEX,PLEX,1082,1,5,0,0
