_index,EPAV,ISCN,PACC,PAGE,PAGI,PAWR,PBCV,PBKT,PBSG,PBSK,PCAR,PCMT,PCOL,PCON,PCSA,PCTH,PCYL,PDPI,PDRO,PDRR,PEGO,PELU,PEPS,PFMS,PFNA,PGHE,PGID,PHGT,PHSN,PHTN,PIMP,PINJ,PJEN,PJMP,PKAC,PKPR,PKRT,PLBD,PLBK,PLCI,PLCP,PLHT,PLHY,PLIB,PLJM,PLMC,PLMO,PLNA,PLPE,PLPL,PLPM,PLPO,PLPR,PLPU,PLRL,PLSA,PLSC,PLSM,PLTR,PLZC,PMRR,POID,POVR,PPBF,PPBK,PPBS,PPLA,PQBS,PRBF,PRBK,PRBS,PROL,PRSE,PSA0,PSA1,PSA2,PSB0,PSB1,PSB2,PSBO,PSKI,PSPD,PSTA,PSTM,PSTN,PSTR,PSXP,PTAD,PTAK,PTAM,PTAS,PTEN,PTGH,PTHA,PTHP,PTOR,PTSA,PTUP,PVCO,PVSB,PVTS,PWGT,PYCF,PYRP,PYWT,SRRN,TGID,TRCB,TRFP,TRPB,TRSC,TRSP,TRTA,TRTR,TRTS,TSPM,PCBT,TRIC,PLTY,PPOS,TRCT,TRFB,TRFY,TRJR,TRDO,TRWU,PLDT,TRHM,PCPH,TRCL,PSA3,PSB3,TRBR,TRSW,TRBH,PICN,TRFK,TRTL,TRSB,PHAN,PSA4,PSB4,PSA5,PSB5,TRDS,PSA6,PSB6
0,3,1,84,33,80,80,75,64,25,74,59,4600,255,3,2640,57,2,7,2,10,92,74,SmithGeno_112,10,CodexTest,201,112,75,8,Miramar,10,87,7,81,15,20,15,21682,25,46,2,12,-31,35,64,18,1,Smith,15,100,10,99,18,30,30,56,48,66,35,25,20,112,79,20,24,20,86,1,15,20,15,1,11,50,2240,2830,960,400,1020,2380,1,89,93,20,30,58,6078,85,38,84,90,1,87,77,88,90,5120,85,3,2380,5120,61,50,11,5,30,28,4,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,63,33,63,63,62,38,27,48,68,255,232,0,22,37,0,1,4,13,85,62,BarkleyMatt_116,10,Matt,11,116,74,4,Newport Beach,10,84,19,72,49,49,10,17458,20,23,0,12,-31,30,52,15,1,Barkley,10,100,10,99,15,35,12,43,28,53,32,20,14,116,55,15,19,25,76,1,20,15,25,0,1,0,0,0,0,0,0,0,1,70,74,45,43,60,5677,74,25,73,79,1,86,79,78,73,0,73,0,0,0,74,50,11,0,22,1009,4,1,1,1,2,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,87,24,78,60,74,69,29,31,70,223,118,0,80,77,0,511,63,64,55,74,BaldwinDaylen_129,10,Daylen,286,129,74,21, Southfield,10,90,86,83,15,15,64,50491,33,76,0,34,-31,48,72,15,1,Baldwin,21,100,10,99,25,35,76,65,83,69,48,19,69,129,64,20,25,22,12,0,39,46,35,0,3,0,0,0,0,0,0,0,1,85,82,20,0,67,0,10,35,15,20,1,79,31,28,24,0,16,0,0,0,52,50,1,0,71,1009,4,2,1,2,0,0,2,0,1,0,1,11,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,94,23,83,58,82,76,26,29,76,5256,42,3,81,78,3,511,63,65,57,85,WeaverXavier_183,10,Xavier,128,183,72,8,Orlando,10,87,89,87,18,21,72,25788,20,75,0,30,-31,34,79,13,1,Weaver,13,100,10,99,16,32,66,60,77,68,50,17,66,183,66,14,23,10,27,0,27,41,20,0,1,55,97,108,26,0,0,26,1,91,83,27,0,56,0,27,27,32,38,1,84,30,47,34,260,28,3,26,260,20,50,0,0,67,7,4,2,1,2,0,0,2,0,1,0,1,10,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,92,23,82,63,69,55,52,10,62,9138,141,3,80,57,3,511,63,19,48,84,CodringtonBrandon_196,26,Brandon,233,196,68,32,Raleigh,10,86,29,84,12,15,80,36156,23,54,0,68,-31,54,76,63,1,Codrington,67,100,36,99,64,74,15,35,56,64,32,66,22,196,65,35,35,35,6,0,35,35,35,0,3,80,96,108,0,0,0,0,1,89,84,15,0,61,0,6,64,6,6,1,82,22,26,6,284,14,3,0,284,16,50,0,0,25,3,3,2,1,2,1,0,2,0,1,0,1,39,16,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,89,33,88,70,82,78,39,46,87,3818,212,2,225,80,2,29,1,72,81,82,PattersonCordarrelle_498,10,Cordarrelle,284,498,74,39,Rock Hill,10,90,84,87,20,20,99,35123,27,73,0,32,-31,47,83,20,1,Patterson,15,100,10,99,25,49,75,59,76,78,68,25,70,498,75,27,55,28,24,0,12,54,17,0,1,35,95,0,190,280,0,470,1,89,85,15,0,65,6017,37,48,47,53,1,84,53,60,53,130,34,2,470,130,60,50,11,0,75,29,4,2,1,1,1,0,2,0,1,0,1,6,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,0,88,32,88,83,88,83,35,22,73,64,29,1,2310,83,1,14,3,82,71,87,AllenKeenan_505,10,Keenan,146,505,74,32,Greensboro,10,87,13,93,20,22,75,55732,42,89,0,15,-31,65,85,15,1,Allen,10,100,10,99,26,35,84,78,90,78,71,26,82,505,81,34,45,39,15,0,19,59,25,2,13,2310,0,0,0,0,0,0,1,89,91,99,0,72,5654,34,34,33,36,1,93,28,54,31,2310,36,1,0,2310,51,50,11,0,85,1,4,2,1,1,1,0,2,0,1,0,2,11,3,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,87,32,87,84,91,83,45,22,72,2329,39,1,654,90,1,27,1,83,77,85,HopkinsDeAndre_506,32,DeAndre,290,506,73,39,Central,10,93,8,92,20,20,72,12980,29,89,0,35,-31,49,88,32,1,Hopkins,40,100,30,99,28,30,86,80,92,84,59,35,83,506,83,25,44,27,15,0,35,54,37,1,8,124,0,0,530,0,0,530,1,89,95,5,0,75,5873,10,52,10,15,1,97,30,35,15,124,23,1,530,124,52,50,11,0,85,9,4,2,2,1,1,0,2,0,1,0,2,11,3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,87,32,84,79,80,78,40,22,75,5402,232,2,975,84,1,9,2,77,60,84,WoodsRobert_521,10,Robert,281,521,72,4,Gardena,10,89,2,89,22,25,78,20916,33,84,0,15,-31,53,85,18,1,Woods,40,100,10,99,22,41,78,57,85,77,53,21,77,521,75,29,45,30,15,0,33,59,36,0,3,40,500,0,510,475,0,985,1,89,91,38,0,63,6180,20,39,24,28,1,79,30,34,22,540,20,2,985,540,35,50,11,1,79,32,4,2,1,1,1,0,2,0,1,0,1,12,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,94,33,87,68,82,73,37,22,76,1926,215,0,22,82,0,16,3,73,85,84,GoodwinMarquise_727,10,Marquise,200,727,69,42,Lubbock,10,84,3,91,20,21,83,40242,20,79,0,15,-31,40,77,18,1,Goodwin,10,100,10,99,24,44,69,42,79,78,38,25,71,727,71,19,32,20,6,0,29,51,34,0,3,0,0,0,0,0,0,0,1,93,82,25,0,42,5825,6,25,10,15,1,71,32,34,10,0,18,0,0,0,25,50,11,0,69,1009,4,2,1,1,1,0,2,0,1,0,1,9,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,1,80,33,80,91,83,69,44,25,80,5532,201,1,244,87,1,3,2,62,35,71,ErtzZach_857,10,Zach,70,857,77,4,Orange,10,85,86,79,22,22,35,21810,59,83,1,12,-31,68,74,19,1,Ertz,10,100,10,99,17,36,80,73,85,72,69,18,67,857,79,57,62,61,6,0,55,55,52,0,12,48,0,0,196,0,0,196,1,81,90,30,0,74,5790,6,36,10,15,1,87,35,42,10,48,15,1,196,48,90,50,11,0,73,26,4,2,1,1,1,0,2,0,1,0,0,15,4,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,1,87,34,85,99,92,78,40,42,72,2579,37,2,1955,96,2,1,3,79,55,75,KelceTravis_890,20,Travis,71,890,77,34,Cleveland,10,97,87,94,32,35,6,11441,59,90,5,15,-31,74,83,12,1,Kelce,10,100,20,99,15,42,85,84,93,71,78,14,85,890,99,63,66,64,29,0,66,69,65,3,12,575,450,0,1380,1530,0,2910,1,85,97,10,0,79,5920,49,45,53,64,1,94,52,70,47,1025,33,2,2910,1025,90,50,11,11,88,9,4,2,1,1,1,0,2,0,1,0,0,14,4,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,1,79,34,75,98,60,30,56,39,67,2506,158,3,1586,64,2,4,1,25,15,59,JohnsonLane_927,60,Lane,53,927,78,42,Groveton,10,84,65,82,22,25,10,16946,95,58,3,60,-31,95,54,12,1,Johnson,10,100,53,99,29,55,45,55,57,50,65,20,33,927,98,93,98,98,39,1,94,96,98,2,1,116,146,525,1356,1440,1241,4037,2,77,88,1,0,91,5902,50,60,54,59,1,91,56,65,52,787,41,3,4037,787,165,50,11,9,46,13,4,2,1,1,1,0,2,0,1,2,1,20,9,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
