_index,EPAV,ISCN,PACC,PAGE,PAGI,PAWR,PBCV,PBKT,PBSG,PBSK,PCAR,PCBT,PCMT,PCOL,PCON,PCPH,PCSA,PCTH,PCYL,PDPI,PDRO,PDRR,PEGO,PELU,PEPS,PFMS,PFNA,PGHE,PGID,PHAN,PHGT,PHSN,PHTN,PICN,PIMP,PINJ,PJEN,PJMP,PKAC,PKPR,PKRT,PLBD,PLBK,PLCI,PLCP,PLDT,PLHT,PLHY,PLIB,PLJM,PLMC,PLMO,PLNA,PLPE,PLPL,PLPM,PLPO,PLPR,PLPU,PLRL,PLSA,PLSC,PLSM,PLTR,PLTY,PLZC,PMRR,POID,POVR,PPBF,PPBK,PPBS,PPLA,PPOS,PQBS,PRBF,PRBK,PRBS,PROL,PRSE,PSA0,PSA1,PSA2,PSA3,PSA4,PSA5,PSA6,PSB0,PSB1,PSB2,PSB3,PSB4,PSB5,PSB6,PSBO,PSKI,PSPD,PSTA,PSTM,PSTN,PSTR,PSXP,PTAD,PTAK,PTAM,PTAS,PTEN,PTGH,PTHA,PTHP,PTOR,PTSA,PTUP,PVCO,PVSB,PVTS,PWGT,PYCF,PYRP,PYWT,SRRN,TGID,TRBH,TRBR,TRCB,TRCL,TRCT,TRDO,TRDS,TRFB,TRFK,TRFP,TRFY,TRHM,TRIC,TRJR,TRPB,TRSB,TRSC,TRSP,TRSW,TRTA,TRTL,TRTR,TRTS,TRWU,TSPM
0,3,1,84,33,80,80,75,64,25,74,59,0,4600,255,3,0,2640,57,2,7,2,10,92,74,SmithGeno_112,10,Geno,201,112,0,75,8,Miramar,0,10,87,7,81,15,20,15,21682,25,46,2,0,12,-31,35,64,18,1,Smith,15,100,10,99,18,30,30,56,48,66,35,0,25,20,112,79,20,24,20,86,0,1,15,20,15,1,11,50,2240,2830,0,0,0,0,960,400,1020,0,0,0,0,2380,1,89,93,20,30,58,6078,85,38,84,90,1,87,77,88,90,5120,85,3,2380,5120,61,50,11,5,30,28,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1
1,4,0,63,33,63,63,62,38,27,48,68,1,255,232,0,0,22,37,0,1,4,13,85,62,BarkleyMatt_116,10,Matt,11,116,0,74,4,Newport Beach,0,10,84,19,72,49,49,10,17458,20,23,0,0,12,-31,30,52,15,1,Barkley,10,100,10,99,15,35,12,43,28,53,32,0,20,14,116,55,15,19,25,76,0,1,20,15,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,74,45,43,60,5677,74,25,73,79,1,86,79,78,73,0,73,0,0,0,74,50,11,0,22,1009,0,0,4,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,1,0,0,1,0,3
2,3,0,87,24,78,60,74,69,29,31,70,0,223,118,0,0,80,77,0,511,63,64,55,74,BaldwinDaylen_129,10,Daylen,286,129,0,74,21, Southfield,0,10,90,86,83,15,15,64,50491,33,76,0,0,34,-31,48,72,15,1,Baldwin,21,100,10,99,25,35,76,65,83,69,48,11,19,69,129,64,20,25,22,12,3,0,39,46,35,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,82,20,0,67,0,10,35,15,20,1,79,31,28,24,0,16,0,0,0,52,50,1,0,71,1009,0,0,4,0,1,0,0,1,0,2,1,0,1,1,1,0,2,0,0,0,0,2,0,0,1
3,1,0,94,23,83,58,82,76,26,29,76,0,5256,42,3,0,81,78,3,511,63,65,57,85,WeaverXavier_183,10,Xavier,128,183,0,72,8,Orlando,0,10,87,89,87,18,21,72,25788,20,75,0,0,30,-31,34,79,13,1,Weaver,13,100,10,99,16,32,66,60,77,68,50,10,17,66,183,66,14,23,10,27,3,0,27,41,20,0,1,55,97,108,0,0,0,0,26,0,0,0,0,0,0,26,1,91,83,27,0,56,0,27,27,32,38,1,84,30,47,34,260,28,3,26,260,20,50,0,0,67,7,0,0,4,0,1,1,0,1,0,2,1,0,1,0,1,0,2,0,0,0,0,2,0,1,1
4,2,0,92,23,82,63,69,55,52,10,62,0,9138,141,3,0,80,57,3,511,63,19,48,84,CodringtonBrandon_196,26,Brandon,233,196,0,68,32,Raleigh,0,10,86,29,84,12,15,80,36156,23,54,0,14,68,-31,54,76,63,1,Codrington,67,100,36,99,64,74,15,35,56,64,32,39,66,22,196,65,35,35,35,6,16,0,35,35,35,0,3,80,96,108,0,0,0,0,0,0,0,0,0,0,0,0,1,89,84,15,0,61,0,6,64,6,6,1,82,22,26,6,284,14,3,0,284,16,50,0,0,25,3,0,0,3,0,0,0,0,0,0,2,0,1,1,0,1,0,2,1,0,0,0,2,0,0,1
5,5,0,89,33,88,70,82,78,39,46,87,0,3818,212,2,0,225,80,2,29,1,72,81,82,PattersonCordarrelle_498,10,Cordarrelle,284,498,0,74,39,Rock Hill,0,10,90,84,87,20,20,99,35123,27,73,0,0,32,-31,47,83,20,1,Patterson,15,100,10,99,25,49,75,59,76,78,68,6,25,70,498,75,27,55,28,24,1,0,12,54,17,0,1,35,95,0,0,0,0,0,190,280,0,0,0,0,0,470,1,89,85,15,0,65,6017,37,48,47,53,1,84,53,60,53,130,34,2,470,130,60,50,11,0,75,29,0,0,4,0,0,0,0,1,0,2,1,1,1,1,1,0,1,1,0,0,0,2,0,1,1
6,5,0,88,32,88,83,88,83,35,22,73,0,64,29,1,1,2310,83,1,14,3,82,71,87,AllenKeenan_505,10,Keenan,146,505,0,74,32,Greensboro,0,10,87,13,93,20,22,75,55732,42,89,0,0,15,-31,65,85,15,1,Allen,10,100,10,99,26,35,84,78,90,78,71,11,26,82,505,81,34,45,39,15,3,0,19,59,25,2,13,2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,91,99,0,72,5654,34,34,33,36,1,93,28,54,31,2310,36,1,0,2310,51,50,11,0,85,1,0,0,4,1,0,0,0,1,0,2,1,0,2,1,1,0,1,1,0,0,0,2,0,1,1
7,3,0,87,32,87,84,91,83,45,22,72,0,2329,39,1,0,654,90,1,27,1,83,77,85,HopkinsDeAndre_506,32,DeAndre,290,506,0,73,39,Central,0,10,93,8,92,20,20,72,12980,29,89,0,0,35,-31,49,88,32,1,Hopkins,40,100,30,99,28,30,86,80,92,84,59,11,35,83,506,83,25,44,27,15,3,0,35,54,37,1,8,124,0,0,0,0,0,0,530,0,0,0,0,0,0,530,1,89,95,5,0,75,5873,10,52,10,15,1,97,30,35,15,124,23,1,530,124,52,50,11,0,85,9,0,0,4,1,1,0,0,1,0,2,1,0,2,1,2,0,1,1,0,0,0,2,0,1,1
8,1,0,87,32,84,79,80,78,40,22,75,0,5402,232,2,0,975,84,1,9,2,77,60,84,WoodsRobert_521,10,Robert,281,521,0,72,4,Gardena,0,10,89,2,89,22,25,78,20916,33,84,0,0,15,-31,53,85,18,1,Woods,40,100,10,99,22,41,78,57,85,77,53,12,21,77,521,75,29,45,30,15,3,0,33,59,36,0,3,40,500,0,0,0,0,0,510,475,0,0,0,0,0,985,1,89,91,38,0,63,6180,20,39,24,28,1,79,30,34,22,540,20,2,985,540,35,50,11,1,79,32,0,0,4,0,1,0,0,1,0,2,1,0,1,1,1,0,1,1,0,0,0,2,0,1,1
9,2,0,94,33,87,68,82,73,37,22,76,0,1926,215,0,0,22,82,0,16,3,73,85,84,GoodwinMarquise_727,10,Marquise,200,727,0,69,42,Lubbock,0,10,84,3,91,20,21,83,40242,20,79,0,0,15,-31,40,77,18,1,Goodwin,10,100,10,99,24,44,69,42,79,78,38,9,25,71,727,71,19,32,20,6,3,0,29,51,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,82,25,0,42,5825,6,25,10,15,1,71,32,34,10,0,18,0,0,0,25,50,11,0,69,1009,0,0,4,0,1,0,0,1,0,2,0,0,1,0,1,0,1,1,0,0,0,2,0,1,1
