_index,ASNM,BTYP,CFNM,CJNO,CLNM,CNID,COMB,GENR,GNHD,HINC,LOUT,SKNT,USKT,WLBS,_compressed_header
112,SmithGeno_112,0,Geno,7,Smith,112,0,gen_6_T_G_005,201,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,61,8e8da903
116,BarkleyMatt_116,1,Matt,19,Barkley,116,0,gen_1_B_S_001,11,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,234,8e8da903
129,BaldwinDaylen_129,0,Daylen,84,Baldwin,129,0,gen_7_B_N_009,221,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,212,8e8da903
183,WeaverXavier_183,0,Xavier,89,Weaver,183,0,gen_5_B_BD_03,183,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,180,8e8da903
196,CodringtonBrandon_196,0,Brandon,29,Codrington,196,0,gen_7_B_N_08,212,68,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,176,8e8da903
498,PattersonCordarrelle_498,0,Cordarrelle,84,Patterson,498,0,gen_7_M_N_024,257,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,220,8e8da903
505,AllenKeenan_505,0,Keenan,13,Allen,505,0,gen_5_M_B_001,146,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,211,8e8da903
506,HopkinsDeAndre_506,0,DeAndre,8,Hopkins,506,0,gen_7_T_S_004,290,73,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,212,8e8da903
521,WoodsRobert_521,0,Robert,2,Woods,521,0,gen_7_M_N_001,281,72,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,195,8e8da903
727,GoodwinMarquise_727,0,Marquise,3,Goodwin,727,0,gen_6_N_MG_009,200,69,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,185,8e8da903
857,ErtzZach_857,0,Zach,86,Ertz,857,0,gen_2_M_S_001,70,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,250,8e8da903
890,KelceTravis_890,0,Travis,87,Kelce,890,0,gen_2_M_S_011,71,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":1,""field_count"":2,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,90,8e8da903
927,JohnsonLane_927,2,Lane,65,Johnson,927,0,gen_2_H_B_004,53,78,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,165,8e8da903
963,PughJustin_963,3,Justin,67,Pugh,963,0,gen_2_B_BD_03,26,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,311,8e8da903
964,ArmsteadTerron_964,3,Terron,72,Armstead,964,0,gen_7_M_MB_009,278,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,305,8e8da903
1069,RomoJohnParker_1069,1,John Parker,11,Romo,1069,0,gen_3_BMT_S_003,34,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,15,8e8da903
1070,WallaceCaedan_1070,2,Caedan,70,Wallace,1070,0,gen_5_M_BD_02,146,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",5,-4685696,154,8e8da903
1071,AmegadjieKiran_1071,2,Kiran,72,Amegadjie,1071,0,gen_7_H_N_006,266,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,166,8e8da903
1072,ReimanTip_1072,2,Tip,87,Reiman,1072,0,gen_2_B_B_005,9,76,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",1,-4685696,273,8e8da903
1073,JenkinsJohn_1073,3,John,95,Jenkins,1073,0,gen_7_H_G_008,266,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,167,8e8da903
1074,JonesElijah_1074,0,Elijah,28,Jones,1074,0,gen_7_B_N_016,254,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,184,8e8da903
1076,HuntJalyx_1076,2,Jalyx,58,Hunt,1076,0,gen_7_B_N_009,210,75,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,92,8e8da903
1080,WilliamsEvan_1080,0,Evan,33,Williams,1080,0,gen_3_B_B_009,108,71,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",4,-4685696,200,8e8da903
1082,RichardsonDecamerion_1082,0,Decamerion,25,Richardson,1082,0,gen_6_B_N_0010,216,74,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",7,-4685696,195,8e8da903
1083,McCormickMason_1083,3,Mason,66,McCormick,1083,0,gen_2_H_B_005,59,77,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",2,-4685696,155,8e8da903
1084,ManuGiovanni_1084,2,Giovanni,59,Manu,1084,0,gen_4_M_BD_02,190,79,"{""nested_table"":""LOUT"",""type"":4,""num_entries"":2,""field_count"":3,""export_path"":""PLEX_LOUT.json/.csv""}",6,-4685696,354,8e8da903
