_parent_table_path,_parent_table_name,_parent_record_index,_index,CGID,CYID,DGID,DISN,IMIL,SGID,SID1,TAFL,TALG,TAPP,TASN,TB2B,TB2G,TB2R,TBCB,TBCG,TBCR,TCRP,TDAN,TDNA,TDPB,TFLO,TGID,THAR,THPS,THSC,TLGO,TLNA,TLRR,TLSA,TMAN,TMHO,TMHT,TMID,TMNC,TMOT,TMSO,TMST,TNCI,TOID,TOPB,TORD,TPFN,TPLE,TRDB,TRDE,TRDL,TRLB,TROF,TROL,TROV,TRQB,TRRB,TRST,TRV1,TRV2,TRV3,TSNA,TSNS,TTPC,TUAN,TUFP,TUHO,TVIS,TWRR,TYSE,TYSF
BLOB,BLOB,1,0,7,74,12,7,1,500,1023,0,0,0,AIRFOR,178,180,178,149,53,0,0,teamdb_af,Air Force,521,0,1100,77,0,1,0,Air Force,0,0,AFA,#FlyFightWin,#BoltBrotherhood,43,Falcons,false,Fly Fight Win,Bolt Brotherhood,77,1100,200,0,AFA,3,70,70,72,70,70,70,70,77,71,73,1108,1166,1124,AFA,98,99,AIRFOR,AFA,15,0,68,1954,1956
BLOB,BLOB,1,1,6,75,2,7,0,501,1023,0,1,0,AKRONX,132,183,198,67,30,4,1,teamdb_zips,Akron,508,0,1101,121,0,1,1,Akron,0,1,AKR,#ZipEmUp,#GoZips,44,Zips,Fiat Lux,Zip Em Up,Go Zips,78,1101,201,1,AKR,10,71,71,74,70,75,72,73,74,83,80,1148,1177,1114,AKRN,132,97,AKRONX,AKR,15,0,79,1870,1891
BLOB,BLOB,1,2,9,77,4,7,0,502,1023,0,2,0,ALBAMA,255,255,255,57,8,179,3,teamdb_bama,Alabama,521,0,1102,5,0,1,2,Alabama,0,2,ALA,#RollTide,#RammerJammer,45,Crimson Tide,0,Roll Tide,Rammer Jammer,79,1102,202,2,ALA,0,89,87,86,75,83,80,85,82,83,88,1109,1201,1154,BAMA,14,5,ALBAMA,ALA,15,0,87,1831,1892
BLOB,BLOB,1,3,10,84,14,0,0,503,1023,1,3,0,APPSTA,0,205,254,0,0,0,0,teamdb_app,App St.,523,1,1103,79,0,1,3,Appalachian State,0,3,APP,#GoApp,#TheRock,46,Mountaineers,Esse quam videri,Go App,The Rock,80,1103,203,3,APP,2,74,72,71,75,72,73,72,73,81,78,1135,1155,1119,APP,91,69,APPSTA,APP,0,1,72,1899,1928
BLOB,BLOB,1,4,2,85,17,7,0,504,1023,0,4,0,ARIZON,51,32,193,87,41,25,6,teamdb_ariz,Arizona,501,0,1104,51,1,1,4,Arizona,0,4,ARIZ,#BearDown,#Wildcat4Life,54,Wildcats,Bear Down,Bear Down,Wildcat4Life,81,1104,205,4,ARIZ,2,80,81,80,79,82,78,81,90,83,81,1105,1170,1205,ZONA,32,75,ARIZON,ARIZ,15,0,79,1885,1899
BLOB,BLOB,1,5,2,86,17,7,0,505,1023,0,5,1,AZSTAT,40,198,255,65,29,140,12,teamdb_asu,Arizona State,527,0,1105,40,0,1,5,Arizona State,2,5,ASU,#ForksUp,#GoDevils,56,Sun Devils,Ditat Deus,Forks Up,Go Devils,82,1105,204,5,ASU,10,83,83,84,78,78,75,81,79,81,80,1104,1218,1116,ASU,45,39,AZSTAT,ASU,15,0,85,1885,1897
BLOB,BLOB,1,6,9,88,4,7,0,506,1023,0,6,0,ARKANS,255,255,255,55,33,163,7,teamdb_ark,Arkansas,517,0,1106,23,1,1,6,Arkansas,0,6,ARK,#WoooPigSooie,#GoHogs,58,Razorbacks,Veritate duce progredi,Wooo Pig Sooie,Go Hogs,83,1106,207,6,ARK,12,81,82,83,78,81,78,81,74,88,88,1154,1203,1202,ARK,55,23,ARKANS,ARK,15,0,84,1871,1894
BLOB,BLOB,1,7,10,89,15,7,0,507,1023,0,7,1,ARKSTX,32,31,35,45,14,206,9,teamdb_arkst,Arkansas State,507,0,1107,96,0,1,7,Arkansas State,0,7,ARST,#WolvesUp,#OnePack,60,Red Wolves,"Educate, Enhance, Enrich",Wolves Up,One Pack,84,1107,206,7,ARST,6,72,71,73,69,76,75,73,73,80,87,1157,1151,1213,ARST,90,81,ARKSTX,ARST,15,0,82,1909,1911
BLOB,BLOB,1,8,3,149,16,7,1,508,1023,0,8,0,ARMYXX,141,188,211,41,42,44,10,teamdb_army,Army,508,0,1108,69,1,1,8,Army,0,8,ARMY,#GoArmy,#BEATnavy,61,Black Knights,"Duty, Honor, Country",Go Army,BEAT navy,85,1108,208,8,ARMY,255,76,73,76,66,72,73,72,80,76,73,1166,1100,1176,ARMY,53,86,ARMYXX,ARMY,15,0,70,1802,1890
BLOB,BLOB,1,9,9,91,4,7,0,509,1023,0,9,0,AUBURN,36,75,240,63,34,13,11,teamdb_aub,Auburn,502,0,1109,11,0,1,9,Auburn,0,9,AUB,#WarEagle,#AuburnMade,84,Tigers,War Eagle,War Eagle,Auburn Made,86,1109,209,9,AUB,8,80,81,81,77,86,79,83,89,89,91,1102,1154,1134,AUB,30,16,AUBURN,AUB,15,0,86,1856,1892
