_parent_table_path,_parent_table_name,_parent_record_index,_index,DDEP,PGID,PPOS,TGID
BLOB,BLOB,1,0,0,33561,0,1100
BLOB,BLOB,1,1,1,965,0,1100
BLOB,BLOB,1,2,2,13438,0,1100
BLOB,BLOB,1,3,0,34268,1,1100
BLOB,BLOB,1,4,1,13493,1,1100
BLOB,BLOB,1,5,0,9968,2,1100
BLOB,BLOB,1,6,1,34275,2,1100
BLOB,BLOB,1,7,0,34277,3,1100
BLOB,BLOB,1,8,1,12769,3,1100
BLOB,BLOB,1,9,2,13261,3,1100
BLOB,BLOB,1,10,0,13105,4,1100
BLOB,BLOB,1,11,1,12926,4,1100
BLOB,BLOB,1,12,0,34283,5,1100
BLOB,BLOB,1,13,0,1788,6,1100
BLOB,BLOB,1,14,1,9974,6,1100
BLOB,BLOB,1,15,0,34286,7,1100
BLOB,BLOB,1,16,1,34281,7,1100
BLOB,BLOB,1,17,0,34265,8,1100
BLOB,BLOB,1,18,0,33564,9,1100
BLOB,BLOB,1,19,1,22680,9,1100
BLOB,BLOB,1,20,0,33560,10,1100
BLOB,BLOB,1,21,1,34269,10,1100
BLOB,BLOB,1,22,0,10798,11,1100
BLOB,BLOB,1,23,1,12591,11,1100
BLOB,BLOB,1,24,2,9978,11,1100
BLOB,BLOB,1,25,0,9962,12,1100
BLOB,BLOB,1,26,1,9976,12,1100
BLOB,BLOB,1,27,2,13277,12,1100
BLOB,BLOB,1,28,0,1016,13,1100
BLOB,BLOB,1,29,0,12987,14,1100
BLOB,BLOB,1,30,1,1016,14,1100
BLOB,BLOB,1,31,2,4681,14,1100
BLOB,BLOB,1,32,0,33565,15,1100
BLOB,BLOB,1,33,1,33563,15,1100
BLOB,BLOB,1,34,2,34289,15,1100
BLOB,BLOB,1,35,0,10787,16,1100
BLOB,BLOB,1,36,1,12917,16,1100
BLOB,BLOB,1,37,2,12933,16,1100
BLOB,BLOB,1,38,3,34282,16,1100
BLOB,BLOB,1,39,4,10792,16,1100
BLOB,BLOB,1,40,0,34274,17,1100
BLOB,BLOB,1,41,1,9967,17,1100
BLOB,BLOB,1,42,2,13483,17,1100
BLOB,BLOB,1,43,0,13352,18,1100
BLOB,BLOB,1,44,1,34285,18,1100
BLOB,BLOB,1,45,2,34288,18,1100
BLOB,BLOB,1,46,0,12980,19,1100
BLOB,BLOB,1,47,0,34271,20,1100
BLOB,BLOB,1,48,0,12518,22,1100
BLOB,BLOB,1,49,1,13261,22,1100
BLOB,BLOB,1,50,0,12518,23,1100
BLOB,BLOB,1,51,0,12943,24,1100
BLOB,BLOB,1,52,0,9968,25,1100
BLOB,BLOB,1,53,0,34277,26,1100
BLOB,BLOB,1,54,0,9968,27,1100
BLOB,BLOB,1,55,0,34277,28,1100
BLOB,BLOB,1,56,0,33560,29,1100
BLOB,BLOB,1,57,0,10798,30,1100
BLOB,BLOB,1,58,0,9962,31,1100
BLOB,BLOB,1,59,0,9962,32,1100
BLOB,BLOB,1,60,0,12987,33,1100
BLOB,BLOB,1,61,0,10787,34,1100
BLOB,BLOB,1,62,1,10792,34,1100
BLOB,BLOB,1,63,0,4059,0,1101
BLOB,BLOB,1,64,1,22287,0,1101
BLOB,BLOB,1,65,0,29115,1,1101
BLOB,BLOB,1,66,1,7513,1,1101
BLOB,BLOB,1,67,0,31386,3,1101
BLOB,BLOB,1,68,1,25759,3,1101
BLOB,BLOB,1,69,2,1194,3,1101
BLOB,BLOB,1,70,3,27724,3,1101
BLOB,BLOB,1,71,4,22277,3,1101
BLOB,BLOB,1,72,0,22853,4,1101
BLOB,BLOB,1,73,1,7079,4,1101
BLOB,BLOB,1,74,2,205841,4,1101
BLOB,BLOB,1,75,0,21828,5,1101
BLOB,BLOB,1,76,0,14587,6,1101
BLOB,BLOB,1,77,1,204952,6,1101
BLOB,BLOB,1,78,0,4887,7,1101
BLOB,BLOB,1,79,0,23850,8,1101
BLOB,BLOB,1,80,0,29114,9,1101
BLOB,BLOB,1,81,1,4891,9,1101
BLOB,BLOB,1,82,0,204957,10,1101
BLOB,BLOB,1,83,1,25758,10,1101
BLOB,BLOB,1,84,2,28617,10,1101
BLOB,BLOB,1,85,0,20622,11,1101
BLOB,BLOB,1,86,1,33453,11,1101
BLOB,BLOB,1,87,2,28621,11,1101
BLOB,BLOB,1,88,0,204955,12,1101
BLOB,BLOB,1,89,1,33454,12,1101
